Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
BRASIL,Caetité,Eólica,Caetité (BA),90,Operativo,2014,Grupo Neoenergia,Privado,Rio de Janeiro (Brasil),https://www.neoenergia.com/pt-br/sobre-nos/linhas-de-negocios/renovaveis/renovaveis-eolica/Paginas/caetite.aspx,-14.46886215,-42.58355855
BRASIL,Complexo Pindaí I,Eólica,Pindaí,68,Operativo,2019,Chesf,Estatal,Recife (Brasil),https://lavca.org/2021/01/27/sequoia-capital-exits-pindai-via-sale-to-electrobras-for-r20-6m-em-portugues/,-14.45136197,-42.65047171
BRASIL,Complexo Eólico Guirapá,Eólica,Pindaí e Caetité (BA),170.2,Operativo,2016,Ferbasa,Privado,Salvador (Brasil),http://www.ferbasa.com.br/conteudo_pti.asp?idioma=0&conta=45&tipo=66683,-14.41988897,-42.62872019
BRASIL,Complexo Alto Sertão I,Eólica,Caetité. Igaporã e Guanambi (BA),294.4,Operativo,2012,Ibitu Energia (Antiga Queiroz Galvão Energia (QGE),Privado,Rio de Janeiro (Brasil),https://construtoraqueirozgalvao.com.br/bauman_portfolio/complexo-alto-sertao-i/,-14.165043,-42.488247
BRASIL,Complexo Alto Sertão II,Eólica,Guanambi. Igaporã. Pindaí e Caetité (BA),386.1,Operativo,2014,AES Brasil,Privado,São Paulo (Brasil),https://www.canalenergia.com.br/noticias/53029050/aes-tiete-conclui-aquisicao-do-complexo-eolico-alto-sertao-ii,-14.12959332,-42.55965544
BRASIL,Curva dos Ventos,Eólica,Igaporã (BA),56.4,Operativo,2017,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/our-projects,-13.91798451,-42.62044581
BRASIL,Complexo Tanque Novo,Eólica,Tanque Novo. Caetité (BA),159.2,Planificado,Indeterminado,CGN Energy International Holdings co.,Estatal,Shenzhen (China),http://atlanticenergias.com.br/cgn-brasil-energia-investe-r-1-bilhao-em-novo-empreendimento-na-ba/,-13.47775445,-42.57797775
BRASIL,Complexo Lapa,Solar,Bom JesEUA da Lapa (BA),158,Operativo,2017,CGN Energy International Holdings co.,Privado,Shenzhen (China),http://www.cgnei.com/encgninde/qqxm/qqxmfb.shtml,-13.32012498,-43.36821103
BRASIL,São Pedro,Solar,Bom Jeseua da Lapa (BA),67.1,Operativo,2018,Atlas Renewables,Privado,Miami (US),https://www.atlasrenewableenergy.com/pt-br/proyectos/planta-solar-sao-pedro-bahia-brasil/,-13.30141,-43.319965
BRASIL,Horizonte MP,Solar,Tabocas do Brejo Velho (BA),103.4,Operativo,2018,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/our-projects,-12.60903827,-44.08514302
BRASIL,Ituverava,Solar,Tabocas do Brejo Velho (BA),254.1,Operativo,2017,Enel Green Power,Privado,Roma (Italia),https://www.enelgreenpower.com/countries/south-america/brazil,-12.587325,-44.10687778
BRASIL,Complexo Brotas de Macaúbas,Eólica,Brotas de Macaúbas (BA),95.2,Operativo,2012,Statkraft / FUNCEF,Privado,Oslo (Noruega),https://www.statkraft.com.br/onde-operamos/brasil/complexo-eolico-de-brotas-de-macaubas/,-12.340912,-42.337188
BRASIL,Complexo Sol do Sertão,Solar,Oliveira dos Brejinhos (BA),474,En construcción,Indeterminado,Essentia Energia,Privado,São Paulo (Brasil),http://essentiaenergia.com.br/nossos-projetos/ https://www.eet.eng.br/comeca-a-construcao-do-complexo-sol-do-sertao-na-bahia/,-12.31173611,-42.61910278
BRASIL,Solar Newen Bahia,Solar,Barreiras (BA),2013,Planificado,Indeterminado,Newen New Energies,Privado,São Paulo (Brasil),http://newenergies.com.br/en/,-12.15773056,-44.72370833
BRASIL,Complexo Sertão Solar,Solar,Barreiras (BA),117,Operativo,2019,Atlas Renewables,Privado,Miami (US),https://www.atlasrenewableenergy.com/en/projects/sertao-solar-solar-plant-bahia-brazil/ https://canalsolar.com.br/complexo-solar-sol-do-sertao-vai-gerar-4-mil-empregos-na-bahia/,-12.04920194,-45.0702166
